Data,CDI
07/2026,"1,22%"
06/2026,"1,12%"
05/2026,"1,07%"
04/2026,"1,09%"
03/2026,"1,21%"
02/2026,"1,00%"
01/2026,"1,16%"
12/2025,"1,22%"
11/2025,"1,05%"
10/2025,"1,28%"
09/2025,"1,22%"
08/2025,"1,16%"
07/2025,"1,28%"
06/2025,"1,10%"
05/2025,"1,14%"
04/2025,"1,06%"
03/2025,"0,96%"
02/2025,"0,99%"
01/2025,"1,01%"
12/2024,"0,93%"
11/2024,"0,79%"
10/2024,"0,93%"
09/2024,"0,84%"
08/2024,"0,87%"
07/2024,"0,91%"
06/2024,"0,79%"
05/2024,"0,83%"
04/2024,"0,89%"
03/2024,"0,83%"
02/2024,"0,80%"
01/2024,"0,97%"
12/2023,"0,89%"
11/2023,"0,92%"
10/2023,"1,00%"
09/2023,"0,97%"
08/2023,"1,14%"
07/2023,"1,07%"
06/2023,"1,07%"
05/2023,"1,12%"
04/2023,"0,92%"
03/2023,"1,17%"
02/2023,"0,92%"
01/2023,"1,12%"
12/2022,"1,12%"
11/2022,"1,02%"
10/2022,"1,02%"
09/2022,"1,07%"
08/2022,"1,17%"
07/2022,"1,03%"
06/2022,"1,02%"
05/2022,"1,03%"
04/2022,"0,83%"
03/2022,"0,93%"
02/2022,"0,76%"
01/2022,"0,73%"
12/2021,"0,77%"
11/2021,"0,59%"
10/2021,"0,49%"
09/2021,"0,44%"
08/2021,"0,43%"
07/2021,"0,36%"
06/2021,"0,31%"
05/2021,"0,27%"
04/2021,"0,21%"
03/2021,"0,20%"
02/2021,"0,13%"
01/2021,"0,15%"
12/2020,"0,16%"
11/2020,"0,15%"
10/2020,"0,16%"
09/2020,"0,16%"
08/2020,"0,16%"
07/2020,"0,19%"
06/2020,"0,21%"
05/2020,"0,24%"
04/2020,"0,28%"
03/2020,"0,34%"
02/2020,"0,29%"
01/2020,"0,38%"
12/2019,"0,37%"
11/2019,"0,38%"
10/2019,"0,48%"
09/2019,"0,46%"
08/2019,"0,50%"
07/2019,"0,57%"
06/2019,"0,47%"
05/2019,"0,54%"
04/2019,"0,52%"
03/2019,"0,47%"
02/2019,"0,49%"
01/2019,"0,54%"
12/2018,"0,49%"
11/2018,"0,49%"
10/2018,"0,54%"
09/2018,"0,47%"
08/2018,"0,57%"
07/2018,"0,54%"
06/2018,"0,52%"
05/2018,"0,52%"
04/2018,"0,52%"
03/2018,"0,53%"
02/2018,"0,46%"
01/2018,"0,58%"
12/2017,"0,54%"
11/2017,"0,57%"
10/2017,"0,64%"
09/2017,"0,64%"
08/2017,"0,80%"
07/2017,"0,80%"
06/2017,"0,81%"
05/2017,"0,93%"
04/2017,"0,79%"
03/2017,"1,05%"
02/2017,"0,86%"
01/2017,"1,08%"
12/2016,"1,12%"
11/2016,"1,04%"
10/2016,"1,05%"
09/2016,"1,11%"
08/2016,"1,21%"
07/2016,"1,11%"
06/2016,"1,16%"
05/2016,"1,11%"
04/2016,"1,05%"
03/2016,"1,16%"
02/2016,"1,00%"
01/2016,"1,05%"
12/2015,"1,16%"
11/2015,"1,06%"
10/2015,"1,11%"
09/2015,"1,11%"
08/2015,"1,11%"
07/2015,"1,18%"
06/2015,"1,07%"
05/2015,"0,98%"
04/2015,"0,95%"
03/2015,"1,04%"
02/2015,"0,82%"
01/2015,"0,93%"
12/2014,"0,96%"
11/2014,"0,84%"
10/2014,"0,94%"
09/2014,"0,90%"
08/2014,"0,86%"
07/2014,"0,94%"
06/2014,"0,82%"
05/2014,"0,86%"
04/2014,"0,82%"
03/2014,"0,76%"
02/2014,"0,78%"
01/2014,"0,84%"
12/2013,"0,78%"
11/2013,"0,71%"
10/2013,"0,80%"
09/2013,"0,70%"
08/2013,"0,70%"
07/2013,"0,71%"
06/2013,"0,59%"
05/2013,"0,58%"
04/2013,"0,60%"
03/2013,"0,54%"
02/2013,"0,48%"
01/2013,"0,59%"
12/2012,"0,53%"
11/2012,"0,54%"
10/2012,"0,61%"
09/2012,"0,54%"
08/2012,"0,69%"
07/2012,"0,68%"
06/2012,"0,64%"
05/2012,"0,73%"
04/2012,"0,70%"
03/2012,"0,81%"
02/2012,"0,74%"
01/2012,"0,89%"
12/2011,"0,90%"
11/2011,"0,86%"
10/2011,"0,88%"
09/2011,"0,94%"
08/2011,"1,07%"
07/2011,"0,97%"
06/2011,"0,95%"
05/2011,"0,99%"
04/2011,"0,84%"
03/2011,"0,92%"
02/2011,"0,84%"
01/2011,"0,86%"
12/2010,"0,93%"
11/2010,"0,81%"
10/2010,"0,81%"
09/2010,"0,84%"
08/2010,"0,89%"
07/2010,"0,86%"
06/2010,"0,79%"
05/2010,"0,75%"
04/2010,"0,66%"
03/2010,"0,76%"
02/2010,"0,59%"
01/2010,"0,66%"
12/2009,"0,72%"
11/2009,"0,66%"
10/2009,"0,69%"
09/2009,"0,69%"
08/2009,"0,69%"
07/2009,"0,78%"
06/2009,"0,75%"
05/2009,"0,77%"
04/2009,"0,84%"
03/2009,"0,97%"
02/2009,"0,85%"
01/2009,"1,04%"
12/2008,"1,11%"
11/2008,"1,00%"
10/2008,"1,17%"
09/2008,"1,10%"
08/2008,"1,01%"
07/2008,"1,06%"
06/2008,"0,95%"
05/2008,"0,87%"
04/2008,"0,90%"
03/2008,"0,84%"
02/2008,"0,80%"
01/2008,"0,92%"
12/2007,"0,84%"
11/2007,"0,84%"
10/2007,"0,92%"
09/2007,"0,80%"
08/2007,"0,99%"
07/2007,"0,97%"
06/2007,"0,90%"
05/2007,"1,02%"
04/2007,"0,94%"
03/2007,"1,05%"
02/2007,"0,87%"
01/2007,"1,08%"
12/2006,"0,98%"
11/2006,"1,02%"
10/2006,"1,09%"
09/2006,"1,05%"
08/2006,"1,25%"
07/2006,"1,17%"
06/2006,"1,18%"
05/2006,"1,28%"
04/2006,"1,08%"
03/2006,"1,42%"
02/2006,"1,14%"
